Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Qual o resultado de 25 x 5?;138;115;136;125;D
Qual o resultado de 18 x 3?;54;40;55;67;A
Qual o resultado de 12 x 4?;48;39;47;62;A
Qual o resultado de 21 x 11?;220;222;231;235;C
Qual o resultado de 17 x 10?;170;180;163;172;A
Qual o resultado de 32 x 7?;237;224;215;234;B
Qual o resultado de 28 x 6?;159;166;168;156;C
Qual o resultado de 31 x 5?;155;161;162;152;A
Qual o resultado de 17 x 6?;92;102;87;98;B
Qual o resultado de 17 x 14?;225;234;238;239;C
Qual o resultado de 35 x 6?;200;213;210;219;C
Qual o resultado de 31 x 5?;144;155;154;168;B
Qual o resultado de 30 x 10?;300;295;290;312;A
Qual o resultado de 32 x 13?;404;417;416;409;C
Qual o resultado de 38 x 8?;296;304;306;299;B
Qual o resultado de 29 x 6?;174;188;163;168;A
Qual o resultado de 33 x 7?;240;231;216;225;B
Qual o resultado de 18 x 9?;172;162;176;168;B
Qual o resultado de 14 x 7?;103;105;98;112;C
Qual o resultado de 32 x 13?;407;423;416;417;C
Qual o resultado de 11 x 4?;44;54;29;48;A
Qual o resultado de 12 x 3?;26;44;30;36;D
Qual o resultado de 35 x 14?;479;504;490;502;C
Qual o resultado de 21 x 5?;105;113;98;110;A
Qual o resultado de 37 x 4?;158;159;150;148;D
Qual o resultado de 32 x 9?;288;301;293;296;A
Qual o resultado de 29 x 8?;246;232;221;227;B
Qual o resultado de 29 x 9?;250;259;258;261;D
Qual o resultado de 29 x 13?;387;374;377;382;C
Qual o resultado de 22 x 7?;158;140;161;154;D
Qual o resultado de 17 x 8?;131;134;136;127;C
Qual o resultado de 15 x 13?;184;195;203;198;B
Qual o resultado de 36 x 6?;205;209;218;216;D
Qual o resultado de 39 x 12?;468;458;474;454;A
Qual o resultado de 19 x 13?;234;237;254;247;D
Qual o resultado de 37 x 12?;442;453;443;444;D
Qual o resultado de 27 x 7?;196;198;189;175;C
Qual o resultado de 26 x 11?;297;274;293;286;D
Qual o resultado de 17 x 15?;255;263;266;244;A
Qual o resultado de 33 x 3?;92;99;89;100;B
Qual o resultado de 23 x 3?;69;80;58;60;A
Qual o resultado de 23 x 9?;205;214;207;217;C
Qual o resultado de 23 x 15?;338;344;342;345;D
Qual o resultado de 16 x 12?;200;184;203;192;D
Qual o resultado de 35 x 8?;286;280;268;271;B
Qual o resultado de 37 x 5?;179;194;185;182;C
Qual o resultado de 36 x 6?;203;216;213;214;B
Qual o resultado de 29 x 10?;290;295;291;286;A
Qual o resultado de 19 x 4?;76;82;89;77;A
Qual o resultado de 19 x 12?;237;228;215;227;B
Qual o resultado de 13 x 4?;55;52;63;60;B
