Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Quanto é 12 + 17?;32;28;29;20;C
Quanto é 38 + 10?;45;36;48;43;C
Quanto é 20 + 12?;23;45;37;32;D
Quanto é 39 + 33?;76;86;72;65;C
Quanto é 15 + 6?;29;13;21;32;C
Quanto é 50 + 38?;88;87;75;79;A
Quanto é 3 + 31?;41;34;22;47;B
Quanto é 48 + 35?;77;87;85;83;D
Quanto é 26 + 47?;73;80;87;74;A
Quanto é 14 + 31?;41;33;45;34;C
Quanto é 25 + 39?;54;64;59;67;B
Quanto é 39 + 49?;102;90;89;88;D
Quanto é 50 + 34?;83;78;84;91;C
Quanto é 7 + 40?;47;38;52;32;A
Quanto é 24 + 27?;54;51;49;42;B
Quanto é 50 + 19?;69;62;61;83;A
Quanto é 36 + 8?;53;37;46;44;D
Quanto é 12 + 29?;33;41;27;31;B
Quanto é 6 + 11?;26;5;4;17;D
Quanto é 4 + 45?;49;38;42;54;A
Quanto é 32 + 46?;64;86;78;88;C
Quanto é 5 + 27?;27;32;28;35;B
Quanto é 12 + 50?;56;47;65;62;D
Quanto é 17 + 43?;62;60;53;46;B
Quanto é 29 + 25?;54;61;48;41;A
Quanto é 26 + 12?;30;39;38;48;C
Quanto é 44 + 6?;64;45;50;63;C
Quanto é 28 + 36?;67;58;64;53;C
Quanto é 34 + 44?;67;74;78;63;C
Quanto é 30 + 15?;51;45;36;33;B
Quanto é 17 + 6?;22;37;23;34;C
Quanto é 14 + 9?;21;14;8;23;D
Quanto é 32 + 18?;52;50;58;42;B
Quanto é 2 + 49?;56;47;38;51;D
Quanto é 43 + 35?;68;78;85;75;B
Quanto é 31 + 27?;60;62;55;58;D
Quanto é 16 + 40?;66;56;41;53;B
Quanto é 16 + 36?;39;55;60;52;D
Quanto é 18 + 33?;61;51;42;55;B
Quanto é 2 + 15?;4;31;11;17;D
Quanto é 50 + 26?;77;76;70;84;B
Quanto é 35 + 47?;78;81;82;75;C
Quanto é 14 + 35?;49;38;34;42;A
Quanto é 15 + 20?;24;43;35;41;C
Quanto é 40 + 20?;73;57;60;69;C
Quanto é 3 + 32?;48;35;22;29;B
Quanto é 9 + 18?;32;19;27;36;C
Quanto é 10 + 30?;30;28;42;40;D
Quanto é 21 + 32?;58;59;53;48;C
Quanto é 2 + 35?;37;26;40;25;A
Quanto é 45 + 46?;91;96;76;100;A
Quanto é 35 + 42?;64;77;80;85;B
Quanto é 10 + 3?;3;27;9;13;D
Quanto é 12 + 20?;33;30;32;29;C
Quanto é 49 + 48?;97;83;103;102;A
Quanto é 49 + 4?;53;43;67;40;A
Quanto é 26 + 26?;55;60;52;46;C
Quanto é 39 + 18?;50;52;57;67;C
Quanto é 17 + 9?;37;26;31;30;B
Quanto é 25 + 33?;65;44;51;58;D
Quanto é 36 + 47?;93;94;83;81;C
Quanto é 16 + 31?;37;52;47;41;C
Quanto é 27 + 43?;72;59;69;70;D
Quanto é 20 + 3?;10;19;23;18;C
Quanto é 24 + 33?;55;57;71;58;B
Quanto é 5 + 15?;27;33;20;9;C
